,Unnamed: 0,folio,year,trim,unidad,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p5_2,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3_1,p9_3_2,p9_3_3,p9_3_4,p9_4_1,p9_4_2,p9_4_3,p10p,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11_1,p12_11_2,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_2,p18_2_1,p18_2_2,p18_2_3,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p23_7,p23_8,p23_9,p23_10,p23_11,p23_12,p23_13,p23_14,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_0_5,p25_0_6,p25_0_7,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_2_1,p25_2_2,p25_2_3,p25_2_4,p25_2_5,p25_2_6,p25_2_7,p25_2_8,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p29_1,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p30_5,p30_6,p30_6_1_1,p30_6_1_2,p30_6_1_3,p30_6_1_4,p30_6_1_5,p30_6_1_6,p30_6_1_7,p30_6_1_8,p30_6_1_9,p30_6_1_10,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_0_5,p34_3_0_6,p34_3_0_7,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_3_1_5,p34_3_1_6,p34_3_1_7,p34_3_1_8,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p35,p35_1,p36,p37,p37_1,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p45_3,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,p53,p54,p55_1,p55_2,p55_3,p55_4,p56,filtro,ponfin3,pais,deported
345,1:346,1164,2017,1,61703,1,1,1,1,21,2,3,-1,2,2,2,2,-2,6,2,2,5,3,2,1,0,1,0,1,2,2,3,3,6,614,2,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,4,96,5,3,1,1305024,2,-16,-16,1,2,1,0,-18,-18,-18,3,1,4000,3,1,1,2,2,2,2,2,7,70090001,2,27,270040001,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,27,27004,270040001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,2,4,150,3,2,19,19039,190390001,2,4,1,4,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,10,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,2,-47,48,1,2,555,5,2,-49,1,2,3,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
346,1:347,1165,2017,1,61703,1,1,1,1,20,2,4,-1,2,2,2,2,-2,6,2,5,2,2,2,3,0,0,0,1,2,1,3,3,5,501,99,-9,-9,-9,-9,-9,-9,2,4,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,4,96,5,3,1,1215013,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70090001,2,20,200140001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20014,200140001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,1,1,2,2,1,2,2,2,4,1,2,1,2,1,2,1,2,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,2,1,3,2,200,3,2,20,20014,200140001,2,7,1,4,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,1,1,2016,2,2017,0,-41,-41,-41,-43,-43,-43,-43,-43,3,280270001,2,-47,25,1,1,555,5,1,1,-50,-50,3,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
348,1:349,1167,2017,1,61703,1,1,1,1,22,3,2,-1,2,2,2,2,-2,1,1,-3,3,1,2,1,1,1,1,1,2,2,3,3,5,506,2,-9,-9,-9,-9,-9,-9,1,-11,1,-13,834,1,2,2,2,2,2,2,2,2,8,6,10,3,2,467,1,4,5,3,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70090001,2,20,200140001,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,20,20014,200140001,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-23,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,1,4,125,3,2,20,20014,200140001,2,4,1,3,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,5,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,20040001,2,-47,4,1,2,5,4,2,-49,1,2,2,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
350,1:351,1169,2017,1,61703,1,1,1,1,20,2,3,-1,2,2,2,2,-2,6,2,5,5,1,2,3,0,3,0,1,2,2,3,3,12,1217,2,-9,-9,-9,-9,-9,-9,2,4,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,4,96,5,3,1,1312047,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,20,200140001,2,7,71010001,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7101,71010001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,10,2,3000,3,2,32,32056,320560001,2,4,3,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,8,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,3,280320001,2,-47,6,1,1,666,6,2,-49,1,2,2,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
351,1:352,1170,2017,1,61703,1,1,1,1,25,3,3,-1,2,2,2,2,-2,6,2,2,4,1,1,3,0,1,1,1,2,2,3,3,3,301,2,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,3,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,1,2,2,7,70090001,2,19,190390001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,19039,190390001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,14,2,100,3,2,8,8019,80190001,2,4,1,3,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,11,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,2,-47,6,1,2,555,5,2,-49,1,2,2,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
353,1:354,1174,2017,1,61703,1,1,1,1,25,2,3,-1,2,2,2,2,-2,6,2,2,4,4,1,1,0,5,0,1,2,2,3,3,12,1208,1,-9,-9,-9,-9,-9,-9,1,-11,1,-13,712,1,2,2,2,2,2,2,2,2,8,6,12,3,2,236,2,4,5,3,1,1217001,2,-16,-16,1,2,3,0,-18,-18,-18,0,2,-21,-21,-21,1,2,2,2,2,2,7,70970001,2,7,70090001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7097,70970001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,1,2,200,3,2,7,7009,70090001,2,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,3,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,2,-47,6,1,99,555,5,1,2,1,1,1,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
355,1:356,1176,2017,1,61703,1,1,1,1,25,2,3,-1,2,2,2,2,-2,6,2,2,4,0,2,5,0,5,0,1,2,2,3,3,2,201,1,-9,-9,-9,-9,-9,-9,2,4,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,4,1,5,3,1,1312047,2,-16,-16,1,2,2,0,-18,-18,-18,0,1,4000,3,1,1,2,2,1,2,2,32,320560001,2,7,70090001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,32056,320560001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,7,2,4000,3,1,32,32056,320560001,2,4,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,50250001,1,1,39,1,1,5,4,1,1,-50,-50,2,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
358,1:359,1179,2017,1,61703,1,1,1,1,36,3,1,1,2,2,2,2,-2,5,1,-3,5,1,1,1,1,1,1,1,2,2,3,3,6,619,2,-9,-9,-9,-9,-9,-9,1,-11,1,-13,712,1,2,2,2,2,2,2,2,2,10,6,12,3,2,236,2,4,5,3,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,1,2,-21,-21,-21,1,2,2,2,2,2,7,70270001,2,20,200140001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20014,200140001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,1,2,1,2,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,24,2,800,3,2,32,32056,320560001,2,4,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,3,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,2,-47,25,2,-48,3,4,2,-49,1,2,2,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
360,1:361,1181,2017,1,61703,1,1,1,1,25,3,2,-1,2,2,2,2,-2,6,1,-3,1,-4,-4,1,0,1,0,1,2,2,3,3,1,101,99,-9,-9,-9,-9,-9,-9,1,-11,1,-13,951,6,2,2,2,2,2,2,2,2,8,5,20,3,2,463,2,6,5,3,1,1312047,2,-16,-16,1,2,7,0,-18,-18,-18,3,2,-21,-21,-21,1,2,2,1,2,2,21,211140001,2,9,90100001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5025,50250001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,2,1,7,2,500,3,2,5,5025,50250001,2,4,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,10,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,0,-39,-39,2,2,2017,2,2017,0,-41,-41,-41,-43,-43,-43,-43,-43,1,50250001,2,-47,24,1,2,555,5,1,1,-50,-50,2,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
361,1:362,1182,2017,1,61703,1,1,1,1,39,3,3,-1,2,2,2,1,4,6,1,-3,1,-4,-4,0,0,1,1,1,2,2,3,3,10,1010,2,-9,-9,-9,-9,-9,-9,1,-11,1,-13,611,6,2,2,2,2,2,2,2,2,6,6,99999,99,99,111,1,96,5,3,1,1305024,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,2,2,2,2,2,2,15,151090003,2,5,50270217,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5025,50250001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,5,2,1200,3,2,5,5025,50250001,2,4,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,13,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,0,-39,-39,1,1,2017,2,2017,0,-41,-41,-41,-43,-43,-43,-43,-43,1,50250001,2,-47,6,1,2,666,6,1,1,-50,-50,1,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
362,1:363,1183,2017,1,61703,1,1,1,1,29,4,4,-1,2,2,2,2,-2,6,1,-3,5,1,2,5,0,1,0,1,2,1,3,3,6,602,99,-9,-9,-9,-9,-9,-9,2,4,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,2,96,5,3,1,1312047,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,1,3500,3,1,1,2,2,1,2,2,7,70090001,2,15,151000017,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,32056,320560001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,3,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,9,2,7000,3,1,32,32056,320560001,2,4,1,3,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,5,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,999999997,1,1,6,1,1,555,5,1,1,-50,-50,2,2,2,2,2,2,2,1.0,4.60560099,El Salvador,Mexico
363,1:364,1276,2017,1,131703,1,1,1,1,27,3,2,-1,2,2,2,2,-2,6,2,2,4,3,2,5,0,1,0,1,2,2,3,3,4,413,99,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,4,5,3,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70890001,2,7,70400001,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,7,7040,70400001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,2,20,2,300,3,1,7,7040,70400001,2,3,1,2,-36,-36,-36,-36,-36,-36,-36,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,1,3,48,1,2,555,5,2,-49,1,2,2,2,2,2,2,2,2,1.0,7.29220157,El Salvador,Mexico
365,1:366,1278,2017,1,131703,1,1,1,2,23,3,2,-1,2,2,2,2,-2,6,2,2,6,4,2,1,0,1,0,1,2,2,3,3,7,715,1,-9,-9,-9,-9,-9,-9,1,-11,1,-13,421,2,1,2,2,2,2,2,2,2,7,6,6,3,2,461,1,2,5,3,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,1,4000,3,1,1,2,2,2,2,2,7,70890001,2,7,71010001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7101,71010001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,3,2,4000,3,1,7,7101,71010001,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,4,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,1,2,51,1,1,555,5,1,2,1,2,2,2,2,2,2,2,2,1.0,18.22866874,El Salvador,Mexico
366,1:367,1279,2017,1,131703,1,1,1,2,19,3,3,-1,2,2,2,2,-2,6,2,2,3,2,2,5,0,5,0,1,2,2,3,3,3,315,99,-9,-9,-9,-9,-9,-9,2,4,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,4,3,5,3,1,1217001,2,-16,-16,1,2,1,0,-18,-18,-18,3,1,3000,3,1,1,2,2,2,2,2,7,70890001,2,7,70400001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7040,70400001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,6,2,3000,3,1,7,7040,70400001,2,3,1,4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,5,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,50250001,1,2,31,1,1,555,5,1,2,1,2,2,2,2,2,2,2,2,1.0,18.22866874,El Salvador,Mexico
368,1:369,1281,2017,1,131703,1,1,1,2,23,3,3,-1,2,2,2,2,-2,5,2,1,5,2,2,1,1,5,0,1,2,2,3,3,2,210,2,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,3,1,1217001,2,-16,-16,1,2,2,0,-18,-18,-18,3,1,3000,3,1,1,2,2,2,2,2,7,70890001,2,7,70400001,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,21,21114,211140001,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,-23,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,15,2,3000,3,1,21,21114,211140001,2,3,1,4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,-37,-38,10,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,1,2,51,1,1,5,4,2,-49,1,2,2,2,2,2,2,2,2,1.0,18.22866874,El Salvador,Mexico
369,1:370,1284,2017,1,131703,1,1,1,1,19,3,3,-1,2,2,2,2,-2,6,2,2,5,1,2,1,0,1,0,1,2,2,3,3,5,509,2,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,5,3,1,1312047,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,1,3000,3,1,1,2,2,1,2,2,7,70510001,2,19,190390001,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,19,19039,190390001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,15,2,3000,3,1,19,19039,190390001,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,14,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,-43,-43,-43,-43,-43,1,280320001,1,1,6,1,1,666,6,1,1,-50,-50,2,2,2,2,2,2,2,1.0,7.29220157,El Salvador,Mexico
371,1:372,1286,2017,1,131703,1,1,1,1,34,5,1,1,2,2,2,2,-2,1,2,1,4,1,2,1,1,1,1,1,2,2,3,3,5,503,1,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,4,3,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70740001,2,11,110070001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11007,110070001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,8,2,500,3,1,11,11007,110070001,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,15,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,1,1,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,2,2,2,2,2,2,2,1.0,7.29220157,El Salvador,Mexico
372,1:373,1287,2017,1,131703,1,1,1,1,26,2,2,-1,2,2,2,2,-2,1,2,1,5,1,2,1,1,4,1,1,2,2,3,3,6,608,99,-9,-9,-9,-9,-9,-9,1,-11,2,2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1,96,4,3,1,1217001,2,-16,-16,1,1,-17,-17,-17,-17,-17,3,2,-21,-21,-21,1,2,2,2,2,2,7,70270001,2,7,70400001,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,7,7040,70400001,2,2,2,2,2,2,2,2,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,2,-25,-25,-25,-25,-25,-25,-25,-25,2,-26,2,-27,2,-28,2,-29,2,2,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,1,1,7,2,15,3,2,7,7040,70400001,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-37,-38,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0,-39,-39,0,-40,-40,-40,-40,0,-41,-41,-41,1,2,-44,1,2,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,2,2,2,2,2,2,2,1.0,7.29220157,El Salvador,Mexico
